round,entryId,intrinsicValue,priority,activation,userSilence,modelSilence,state,userHit,modelHit
30,wb_mix_昔涟主角,90,200,60.833,8,2,Active,0,0
30,wb_mix_哀丽秘榭,70,150,96.988,3,3,Active,0,0
30,wb_mix_咖啡,45,100,14.583,7,0,Dormant,0,1
30,wb_mix_Blender,45,100,0.000,12,12,Archived,0,0
30,wb_mix_猫,45,100,48.616,2,2,Active,0,0
30,wb_mix_星穹铁道,45,100,49.444,0,0,Active,1,0
30,wb_mix_今天下午,15,80,47.261,1,1,Active,0,0
30,wb_mix_上周电影,15,80,0.000,11,11,Archived,0,0
30,wb_mix_天气,15,80,0.000,9,9,Archived,0,0
31,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
31,wb_mix_昔涟主角,90,200,47.741,9,3,Active,0,0
31,wb_mix_哀丽秘榭,70,150,93.546,4,4,Active,0,0
31,wb_mix_咖啡,45,100,0.227,8,1,Dormant,0,0
31,wb_mix_Blender,45,100,0.000,13,13,Archived,0,0
31,wb_mix_猫,45,100,46.201,3,3,Active,0,0
31,wb_mix_星穹铁道,45,100,69.444,0,0,Active,1,0
31,wb_mix_今天下午,15,80,45.402,2,2,Active,0,0
31,wb_mix_上周电影,15,80,0.000,12,12,Archived,0,0
31,wb_mix_天气,15,80,0.000,10,10,Archived,0,0
32,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
32,wb_mix_昔涟主角,90,200,31.423,10,4,Active,0,0
32,wb_mix_哀丽秘榭,70,150,88.167,5,5,Active,0,0
32,wb_mix_咖啡,45,100,0.000,9,2,Archived,0,0
32,wb_mix_Blender,45,100,0.000,14,14,Archived,0,0
32,wb_mix_猫,45,100,41.907,4,4,Active,0,0
32,wb_mix_星穹铁道,45,100,69.176,1,1,Active,0,0
32,wb_mix_今天下午,15,80,76.388,0,0,Active,1,0
32,wb_mix_上周电影,15,80,0.000,13,13,Archived,0,0
32,wb_mix_天气,15,80,0.000,11,11,Archived,0,0
33,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
33,wb_mix_昔涟主角,90,200,75.402,0,0,Active,1,0
33,wb_mix_哀丽秘榭,70,150,80.422,6,6,Active,0,0
33,wb_mix_咖啡,45,100,0.000,10,3,Archived,0,0
33,wb_mix_Blender,45,100,0.000,15,15,Archived,0,0
33,wb_mix_猫,45,100,35.199,5,5,Active,0,0
33,wb_mix_星穹铁道,45,100,68.103,2,2,Active,0,0
33,wb_mix_今天下午,15,80,75.923,1,1,Active,0,0
33,wb_mix_上周电影,15,80,0.000,14,14,Archived,0,0
33,wb_mix_天气,15,80,0.000,12,12,Archived,0,0
34,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
34,wb_mix_昔涟主角,90,200,75.213,1,1,Active,0,0
34,wb_mix_哀丽秘榭,70,150,69.880,7,7,Active,0,0
34,wb_mix_咖啡,45,100,0.000,11,4,Archived,0,0
34,wb_mix_Blender,45,100,0.000,16,16,Archived,0,0
34,wb_mix_猫,45,100,25.539,6,6,Dormant,0,0
34,wb_mix_星穹铁道,45,100,65.688,3,3,Active,0,0
34,wb_mix_今天下午,15,80,100.000,0,0,Active,1,0
34,wb_mix_上周电影,15,80,0.000,15,15,Archived,0,0
34,wb_mix_天气,15,80,0.000,13,13,Archived,0,0
35,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
35,wb_mix_昔涟主角,90,200,74.454,2,2,Active,0,0
35,wb_mix_哀丽秘榭,70,150,56.111,8,8,Active,0,0
35,wb_mix_咖啡,45,100,0.000,12,5,Archived,0,0
35,wb_mix_Blender,45,100,0.000,17,17,Archived,0,0
35,wb_mix_猫,45,100,64.999,0,0,Active,1,0
35,wb_mix_星穹铁道,45,100,61.395,4,4,Active,0,0
35,wb_mix_今天下午,15,80,99.535,1,1,Active,0,0
35,wb_mix_上周电影,15,80,0.000,16,16,Archived,0,0
35,wb_mix_天气,15,80,0.000,14,14,Archived,0,0
36,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
36,wb_mix_昔涟主角,90,200,72.746,3,3,Active,0,0
36,wb_mix_哀丽秘榭,70,150,38.685,9,9,Active,0,0
36,wb_mix_咖啡,45,100,0.000,13,6,Archived,0,0
36,wb_mix_Blender,45,100,0.000,18,18,Archived,0,0
36,wb_mix_猫,45,100,84.999,0,0,Active,1,0
36,wb_mix_星穹铁道,45,100,54.686,5,5,Active,0,0
36,wb_mix_今天下午,15,80,99.525,2,0,Active,0,1
36,wb_mix_上周电影,15,80,0.000,17,17,Archived,0,0
36,wb_mix_天气,15,80,0.000,15,15,Archived,0,0
37,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
37,wb_mix_昔涟主角,90,200,69.710,4,4,Active,0,0
37,wb_mix_哀丽秘榭,70,150,17.171,10,10,Dormant,0,0
37,wb_mix_咖啡,45,100,0.000,14,7,Archived,0,0
37,wb_mix_Blender,45,100,0.000,19,19,Archived,0,0
37,wb_mix_猫,45,100,84.730,1,1,Active,0,0
37,wb_mix_星穹铁道,45,100,45.027,6,6,Active,0,0
37,wb_mix_今天下午,15,80,95.962,3,1,Active,0,0
37,wb_mix_上周电影,15,80,48.904,0,0,Active,1,0
37,wb_mix_天气,15,80,0.000,16,16,Archived,0,0
38,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
38,wb_mix_昔涟主角,90,200,64.967,5,5,Active,0,0
38,wb_mix_哀丽秘榭,70,150,0.000,11,11,Archived,0,0
38,wb_mix_咖啡,45,100,0.000,15,8,Archived,0,0
38,wb_mix_Blender,45,100,0.000,20,20,Archived,0,0
38,wb_mix_猫,45,100,83.657,2,2,Active,0,0
38,wb_mix_星穹铁道,45,100,31.878,7,7,Active,0,0
38,wb_mix_今天下午,15,80,89.455,4,2,Active,0,0
38,wb_mix_上周电影,15,80,48.439,1,1,Active,0,0
38,wb_mix_天气,15,80,48.332,0,0,Active,1,0
39,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
39,wb_mix_昔涟主角,90,200,58.136,6,6,Active,0,0
39,wb_mix_哀丽秘榭,70,150,0.000,12,12,Archived,0,0
39,wb_mix_咖啡,45,100,0.000,16,9,Archived,0,0
39,wb_mix_Blender,45,100,0.000,21,21,Archived,0,0
39,wb_mix_猫,45,100,81.242,3,3,Active,0,0
39,wb_mix_星穹铁道,45,100,14.705,8,8,Dormant,0,0
39,wb_mix_今天下午,15,80,79.076,5,3,Active,0,0
39,wb_mix_上周电影,15,80,46.580,2,2,Active,0,0
39,wb_mix_天气,15,80,47.867,1,1,Active,0,0
40,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
40,wb_mix_昔涟主角,90,200,48.839,7,7,Active,0,0
40,wb_mix_哀丽秘榭,70,150,0.000,13,13,Archived,0,0
40,wb_mix_咖啡,45,100,48.332,0,0,Active,1,0
40,wb_mix_Blender,45,100,0.000,22,22,Archived,0,0
40,wb_mix_猫,45,100,76.949,4,4,Active,0,0
40,wb_mix_星穹铁道,45,100,0.000,9,9,Archived,0,0
40,wb_mix_今天下午,15,80,63.894,6,4,Active,0,0
40,wb_mix_上周电影,15,80,42.397,3,3,Active,0,0
40,wb_mix_天气,15,80,46.008,2,2,Active,0,0
41,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
41,wb_mix_昔涟主角,90,200,36.696,8,8,Active,0,0
